,Method,Dimention,L2,SP,KL,QL
1,GLASSO,20,1.275511,0.644915,0.984104,14.036707
2,GLASSO,20,1.146096,0.637381,0.77043,11.359488
3,GLASSO,20,1.176656,0.663974,0.770208,7.41821
4,GLASSO,20,0.93316,0.576627,0.480944,6.015621
5,GLASSO,20,1.224472,0.771875,0.847113,10.66627
6,GLASSO,20,1.157665,0.679621,0.772064,10.043734
7,GLASSO,20,1.101138,0.565602,0.745569,5.009901
8,GLASSO,20,1.217939,0.642326,0.891572,12.329809
9,GLASSO,20,1.032873,0.525834,0.620597,3.53709
10,GLASSO,20,1.145441,0.492614,0.827759,4.811302
11,GLASSO,20,1.099784,0.660825,0.677575,8.051914
12,GLASSO,20,0.996596,0.469391,0.628367,3.255736
13,GLASSO,20,1.083818,0.598872,0.673224,9.81658
14,GLASSO,20,1.319954,0.643817,1.074909,15.786955
15,GLASSO,20,1.338243,0.576462,1.083194,10.681118
16,GLASSO,20,1.0691,0.576766,0.649609,5.079927
17,GLASSO,20,1.306782,0.680559,1.033704,9.23969
18,GLASSO,20,1.227777,0.76456,0.907374,13.274252
19,GLASSO,20,1.10553,0.698688,0.66997,5.815876
20,GLASSO,20,1.176196,0.580909,0.840165,12.996823
21,GLASSO,20,1.173035,0.671849,0.824397,9.110802
22,GLASSO,20,1.254994,0.741237,0.916888,10.53438
23,GLASSO,20,1.133968,0.573596,0.774735,11.007053
24,GLASSO,20,1.242241,0.648546,0.937624,8.238027
25,GLASSO,20,1.192462,0.622124,0.834796,8.599089
26,GLASSO,20,1.202765,0.705574,0.852504,13.532107
27,GLASSO,20,1.275985,0.698269,0.957827,13.611926
28,GLASSO,20,1.038577,0.576996,0.638184,8.768829
29,GLASSO,20,1.365017,0.723463,1.162209,20.750545
30,GLASSO,20,1.281837,0.673981,0.96345,19.373316
31,GLASSO,20,1.198019,0.66715,0.855453,9.118055
32,GLASSO,20,1.203566,0.559774,0.851915,3.791778
33,GLASSO,20,1.16754,0.636918,0.786708,7.355368
34,GLASSO,20,1.095307,0.582021,0.761171,5.658294
35,GLASSO,20,1.179376,0.705906,0.777852,13.12223
36,GLASSO,20,1.130224,0.565987,0.75352,5.387733
37,GLASSO,20,1.196143,0.708971,0.860282,9.836561
38,GLASSO,20,0.931319,0.626664,0.472536,3.13604
39,GLASSO,20,1.108707,0.573186,0.778052,3.791444
40,GLASSO,20,1.12757,0.730129,0.72203,7.221827
41,GLASSO,20,1.092159,0.685088,0.664468,8.902546
42,GLASSO,20,1.151034,0.661878,0.754919,8.933979
43,GLASSO,20,1.119155,0.589967,0.748806,6.891343
44,GLASSO,20,1.198263,0.71248,0.79513,7.784053
45,GLASSO,20,1.294859,0.694004,1.042325,13.894563
46,GLASSO,20,1.213278,0.653996,0.88175,14.743811
47,GLASSO,20,1.297244,0.642738,1.028618,16.269348
48,GLASSO,20,1.062623,0.681487,0.636405,5.552236
49,GLASSO,20,1.327415,0.732734,1.07299,15.227676
50,GLASSO,20,1.204309,0.66297,0.829565,11.370446
51,GLASSO,20,1.208162,0.687725,0.885779,6.933355
52,GLASSO,20,1.17087,0.619101,0.850873,11.625433
53,GLASSO,20,1.251277,0.634636,0.968077,9.358987
54,GLASSO,20,1.240308,0.724207,0.864795,14.231113
55,GLASSO,20,1.204708,0.670217,0.865824,7.875632
56,GLASSO,20,1.225717,0.562758,0.954215,3.596606
57,GLASSO,20,1.206348,0.647299,0.928686,11.57353
58,GLASSO,20,0.975727,0.549789,0.542974,4.533724
59,GLASSO,20,1.16831,0.635139,0.833324,9.45395
60,GLASSO,20,1.241036,0.63316,0.919699,10.853698
61,GLASSO,20,1.18607,0.663924,0.796325,8.803204
62,GLASSO,20,1.149367,0.605965,0.785822,11.891894
63,GLASSO,20,1.233982,0.672056,0.923434,11.782121
64,GLASSO,20,1.146894,0.668175,0.755359,9.685547
65,GLASSO,20,1.329125,0.732192,1.129326,18.252312
66,GLASSO,20,1.171169,0.713758,0.749698,5.397916
67,GLASSO,20,1.023867,0.598412,0.593261,7.357972
68,GLASSO,20,1.126214,0.644573,0.761066,2.849124
69,GLASSO,20,1.127525,0.582154,0.777696,5.112695
70,GLASSO,20,0.924827,0.538624,0.493881,1.572257
71,GLASSO,20,1.110171,0.594442,0.713478,7.681604
72,GLASSO,20,1.278702,0.579016,1.03107,9.786197
73,GLASSO,20,1.079109,0.585712,0.661345,7.896332
74,GLASSO,20,1.214394,0.550385,0.928291,7.160229
75,GLASSO,20,1.084683,0.601163,0.691305,4.564495
76,GLASSO,20,1.108021,0.601791,0.719671,4.668307
77,GLASSO,20,1.019424,0.595021,0.579706,5.479828
78,GLASSO,20,1.125242,0.554058,0.793073,8.174954
79,GLASSO,20,1.19248,0.678922,0.817425,10.516517
80,GLASSO,20,1.057364,0.61093,0.624016,7.464899
81,GLASSO,20,1.101908,0.627224,0.685107,6.895774
82,GLASSO,20,0.976598,0.547896,0.535861,6.492945
83,GLASSO,20,1.179403,0.668114,0.783261,10.056378
84,GLASSO,20,1.144015,0.56276,0.784604,5.07282
85,GLASSO,20,1.098584,0.613926,0.682669,6.927982
86,GLASSO,20,1.11485,0.63425,0.68894,1.407369
87,GLASSO,20,1.131775,0.658991,0.763015,9.919699
88,GLASSO,20,1.074736,0.556456,0.676264,6.861769
89,GLASSO,20,1.239367,0.808989,0.911766,12.474555
90,GLASSO,20,1.088385,0.608911,0.662922,2.632364
91,GLASSO,20,1.216691,0.736545,0.850178,15.50634
92,GLASSO,20,1.200799,0.681642,0.872679,10.151045
93,GLASSO,20,1.318943,0.722656,1.049409,8.867285
94,GLASSO,20,1.142115,0.760794,0.729372,7.275683
