,Method,Dimention,L2,SP,KL,QL
1,GLASSO,20,1.819214,0.707646,1.449788,13.033943
2,GLASSO,20,1.646198,0.660624,1.164603,12.91863
3,GLASSO,20,1.670013,0.710845,1.229882,8.911423
4,GLASSO,20,1.526328,0.625303,1.00792,5.18087
5,GLASSO,20,1.74581,0.738949,1.380953,9.299137
6,GLASSO,20,1.706513,0.755751,1.251562,9.846735
7,GLASSO,20,1.691979,0.659676,1.292873,4.660533
8,GLASSO,20,1.696867,0.684822,1.265872,14.239148
9,GLASSO,20,1.460095,0.635333,0.922593,4.863823
10,GLASSO,20,1.54766,0.6222,1.008208,8.460897
11,GLASSO,20,1.648564,0.696834,1.148547,8.314314
12,GLASSO,20,1.585173,0.680309,1.123407,2.795255
13,GLASSO,20,1.629819,0.620886,1.147135,11.717389
14,GLASSO,20,1.787234,0.73828,1.3984,16.697938
15,GLASSO,20,1.680295,0.698745,1.209995,15.197306
16,GLASSO,20,1.586563,0.746381,1.086245,6.037809
17,GLASSO,20,1.627681,0.676867,1.247375,13.574038
18,GLASSO,20,1.745932,0.75616,1.365213,13.814788
19,GLASSO,20,1.542017,0.677807,1.015175,7.924753
20,GLASSO,20,1.732141,0.724484,1.307927,12.028429
21,GLASSO,20,1.655151,0.710265,1.183649,10.316927
22,GLASSO,20,1.735284,0.714532,1.320932,10.896055
23,GLASSO,20,1.706096,0.713707,1.259615,10.492548
24,GLASSO,20,1.748035,0.791319,1.39525,8.805696
25,GLASSO,20,1.659639,0.712037,1.146558,9.37265
26,GLASSO,20,1.75422,0.751696,1.394163,10.422769
27,GLASSO,20,1.764455,0.684048,1.392409,14.425026
28,GLASSO,20,1.636419,0.693548,1.144799,9.205859
29,GLASSO,20,1.852176,0.7108,1.645086,20.84944
30,GLASSO,20,1.733851,0.721969,1.313348,21.379941
31,GLASSO,20,1.715342,0.737349,1.363685,7.744833
32,GLASSO,20,1.653046,0.710899,1.243091,3.809723
33,GLASSO,20,1.74407,0.740302,1.390775,7.141001
34,GLASSO,20,1.551291,0.652319,1.022114,9.324874
35,GLASSO,20,1.703755,0.744464,1.307455,10.831162
36,GLASSO,20,1.6371,0.666492,1.231179,5.135219
37,GLASSO,20,1.705296,0.715478,1.326831,11.829985
38,GLASSO,20,1.475899,0.696378,0.92177,3.737806
39,GLASSO,20,1.636786,0.729399,1.209161,3.486394
40,GLASSO,20,1.604812,0.681806,1.101199,8.856643
41,GLASSO,20,1.663918,0.673488,1.154045,10.024995
42,GLASSO,20,1.640982,0.743802,1.12123,9.26307
43,GLASSO,20,1.671131,0.748713,1.243444,7.138772
44,GLASSO,20,1.617721,0.66816,1.126536,10.855375
45,GLASSO,20,1.795884,0.763429,1.401516,16.145043
46,GLASSO,20,1.754315,0.742724,1.307232,16.655932
47,GLASSO,20,1.797986,0.701262,1.394697,17.221021
48,GLASSO,20,1.545553,0.63583,1.036935,6.353751
49,GLASSO,20,1.80461,0.722844,1.363461,18.944488
50,GLASSO,20,1.713022,0.695419,1.256641,12.10992
51,GLASSO,20,1.651551,0.698649,1.131953,8.260517
52,GLASSO,20,1.721763,0.684741,1.317476,11.471466
53,GLASSO,20,1.737988,0.738446,1.27601,10.464175
54,GLASSO,20,1.730968,0.710042,1.296299,14.732297
55,GLASSO,20,1.632693,0.667258,1.149787,9.76903
56,GLASSO,20,1.690011,0.668515,1.234288,5.299179
57,GLASSO,20,1.655414,0.675872,1.312423,13.459141
58,GLASSO,20,1.572653,0.650959,1.052548,3.617286
59,GLASSO,20,1.727551,0.674857,1.264736,10.254815
60,GLASSO,20,1.731322,0.714411,1.291466,11.606629
61,GLASSO,20,1.615809,0.691724,1.108441,10.770044
62,GLASSO,20,1.715877,0.724231,1.324069,9.381216
63,GLASSO,20,1.748411,0.723677,1.437919,10.830475
64,GLASSO,20,1.619502,0.684862,1.112966,11.697131
65,GLASSO,20,1.805365,0.75104,1.502665,20.122246
66,GLASSO,20,1.631937,0.69369,1.136181,5.985463
67,GLASSO,20,1.662072,0.672084,1.149895,7.201517
68,GLASSO,20,1.574334,0.658149,1.085148,4.912863
69,GLASSO,20,1.627068,0.73272,1.137354,5.642427
70,GLASSO,20,1.527604,0.654828,0.991257,1.735656
71,GLASSO,20,1.664646,0.677359,1.204618,6.879115
72,GLASSO,20,1.7523,0.670707,1.353748,12.75452
73,GLASSO,20,1.517912,0.623852,0.963111,10.837762
74,GLASSO,20,1.731348,0.754569,1.307196,7.738132
75,GLASSO,20,1.649327,0.714586,1.198777,3.99147
76,GLASSO,20,1.621976,0.682434,1.137853,4.794676
77,GLASSO,20,1.524801,0.672067,0.993714,6.282823
78,GLASSO,20,1.687704,0.690003,1.322773,8.319291
79,GLASSO,20,1.652697,0.672836,1.155885,14.414349
80,GLASSO,20,1.613183,0.627768,1.114884,8.634292
81,GLASSO,20,1.622432,0.672325,1.09341,6.784374
82,GLASSO,20,1.513439,0.638228,0.960119,6.810211
83,GLASSO,20,1.642945,0.672238,1.159451,12.592578
84,GLASSO,20,1.670752,0.661472,1.207861,5.276453
85,GLASSO,20,1.609225,0.70268,1.096751,7.336022
86,GLASSO,20,1.562429,0.644932,1.036161,2.609973
87,GLASSO,20,1.650262,0.730192,1.216449,10.246586
88,GLASSO,20,1.624599,0.659063,1.168173,6.19756
89,GLASSO,20,1.712541,0.751494,1.272986,14.434207
90,GLASSO,20,1.555451,0.614271,1.068744,3.911517
91,GLASSO,20,1.756471,0.691931,1.274717,16.524091
92,GLASSO,20,1.688891,0.694402,1.212404,11.981446
93,GLASSO,20,1.75928,0.765998,1.366462,11.011377
94,GLASSO,20,1.615858,0.706488,1.115171,7.940028
95,GLASSO,20,1.595972,0.645985,1.148087,4.458823
96,GLASSO,20,1.910426,0.804927,1.63629,16.400797
97,GLASSO,20,1.635059,0.676267,1.138167,12.154173
98,GLASSO,20,1.66279,0.698123,1.350595,4.450067
99,GLASSO,20,1.730889,0.718875,1.310514,13.570632
100,GLASSO,20,1.732261,0.715591,1.359479,11.475553
101,GLASSO,50,2.86515,0.811035,3.957407,70.758182
102,GLASSO,50,2.66425,0.790911,3.354255,49.129738
103,GLASSO,50,2.750598,0.782241,3.53378,40.802777
104,GLASSO,50,2.647612,0.729643,3.165295,32.162679
105,GLASSO,50,2.781887,0.748456,3.586597,46.499325
106,GLASSO,50,2.737665,0.793762,3.454385,47.457374
107,GLASSO,50,2.704433,0.742499,3.250615,46.998725
108,GLASSO,50,2.753357,0.769441,3.469402,69.442397
109,GLASSO,50,2.586511,0.71638,2.985072,31.064746
110,GLASSO,50,2.832517,0.778326,3.785741,51.063735
111,GLASSO,50,2.643781,0.753368,3.150592,48.175714
112,GLASSO,50,2.668853,0.745622,3.239349,34.130551
113,GLASSO,50,2.635555,0.743161,3.150097,47.767721
114,GLASSO,50,2.823548,0.781808,3.752692,76.273689
115,GLASSO,50,2.669488,0.733765,3.22443,59.358051
116,GLASSO,50,2.695225,0.79677,3.250793,46.551748
117,GLASSO,50,2.65804,0.745114,3.348522,56.410327
118,GLASSO,50,2.654728,0.71937,3.274334,53.68506
119,GLASSO,50,2.622325,0.742615,3.071172,37.210189
120,GLASSO,50,2.601578,0.73793,2.982018,50.522538
121,GLASSO,50,2.696593,0.749426,3.43722,44.35979
122,GLASSO,50,2.616419,0.736247,3.163199,44.530578
123,GLASSO,50,2.627782,0.763669,3.07419,55.821791
124,GLASSO,50,2.823739,0.773697,3.634734,54.300119
125,GLASSO,50,2.673722,0.750242,3.149916,54.546083
126,GLASSO,50,2.545554,0.68645,2.903206,47.992549
127,GLASSO,50,2.787036,0.779588,3.590983,57.709811
128,GLASSO,50,2.513539,0.676794,2.688745,42.04147
129,GLASSO,50,2.912445,0.813241,4.074928,98.964886
130,GLASSO,50,2.652489,0.775881,3.295305,72.446214
131,GLASSO,50,2.68642,0.744324,3.367001,39.081489
132,GLASSO,50,2.701852,0.762144,3.345322,34.559583
133,GLASSO,50,2.622207,0.73138,3.125268,39.919896
134,GLASSO,50,2.570249,0.766861,2.931022,38.638775
135,GLASSO,50,2.793682,0.798714,3.593578,69.202937
136,GLASSO,50,2.817259,0.786238,3.872233,40.150611
137,GLASSO,50,2.698347,0.734999,3.387057,57.433535
138,GLASSO,50,2.543895,0.742063,2.895305,17.137388
139,GLASSO,50,2.606179,0.756505,3.06749,34.815893
140,GLASSO,50,2.661297,0.736451,3.147847,52.793909
141,GLASSO,50,2.715082,0.778991,3.318478,55.672773
142,GLASSO,50,2.605949,0.747472,3.097669,42.292669
143,GLASSO,50,2.659719,0.737838,3.28375,37.88077
144,GLASSO,50,2.709105,0.802412,3.396679,42.619132
145,GLASSO,50,2.739057,0.763992,3.469535,52.996821
146,GLASSO,50,2.660668,0.749145,3.305468,54.207782
147,GLASSO,50,2.639498,0.701962,3.125416,63.374053
148,GLASSO,50,2.553132,0.753773,2.959426,24.529186
149,GLASSO,50,2.809612,0.843456,3.636443,72.714757
150,GLASSO,50,2.581403,0.736184,3.034006,45.601535
151,GLASSO,50,2.79142,0.769264,3.684623,49.084685
152,GLASSO,50,2.580218,0.703743,3.081997,44.380352
153,GLASSO,50,2.703693,0.741031,3.311054,53.530929
154,GLASSO,50,2.702842,0.739968,3.257763,68.392072
155,GLASSO,50,2.785149,0.768134,3.61764,30.510974
156,GLASSO,50,2.579533,0.739053,2.944971,28.698266
157,GLASSO,50,2.7054,0.746732,3.49037,47.896369
158,GLASSO,50,2.601904,0.76418,3.009019,29.961753
159,GLASSO,50,2.741789,0.745909,3.429569,50.304597
160,GLASSO,50,2.744742,0.766663,3.39589,66.510056
161,GLASSO,50,2.776297,0.793813,3.557443,48.459736
162,GLASSO,50,2.726128,0.800977,3.380806,59.61386
163,GLASSO,50,2.731811,0.764488,3.370105,51.07628
164,GLASSO,50,2.650492,0.70304,3.212188,44.046671
165,GLASSO,50,2.762205,0.781024,3.545023,71.959783
166,GLASSO,50,2.589339,0.736368,2.993931,31.381515
167,GLASSO,50,2.71912,0.716136,3.284851,38.696202
168,GLASSO,50,2.683804,0.792959,3.287435,36.390985
169,GLASSO,50,2.727987,0.731961,3.356678,33.530772
170,GLASSO,50,2.497679,0.701482,2.786822,15.44541
171,GLASSO,50,2.682968,0.715159,3.353729,38.111783
172,GLASSO,50,2.644134,0.737636,3.207268,54.446488
173,GLASSO,50,2.650122,0.742906,3.185846,52.257961
174,GLASSO,50,2.773226,0.767387,3.606688,48.682691
175,GLASSO,50,2.709511,0.758692,3.338082,36.346042
176,GLASSO,50,2.639967,0.730316,3.289734,30.427024
177,GLASSO,50,2.513587,0.737925,2.852685,24.93763
178,GLASSO,50,2.656877,0.720446,3.249629,51.09552
179,GLASSO,50,2.707879,0.746869,3.449826,37.269007
180,GLASSO,50,2.663835,0.745743,3.203222,49.447673
181,GLASSO,50,2.605499,0.694519,3.11915,29.929863
182,GLASSO,50,2.644024,0.745198,3.090518,45.387774
183,GLASSO,50,2.694644,0.762524,3.344455,48.796661
184,GLASSO,50,2.63577,0.73873,3.143117,36.484468
185,GLASSO,50,2.749694,0.777153,3.399134,37.580246
186,GLASSO,50,2.63442,0.736106,3.147141,15.247969
187,GLASSO,50,2.624765,0.740312,3.195447,44.831309
188,GLASSO,50,2.624144,0.712064,3.08715,40.217648
189,GLASSO,50,2.659595,0.721721,3.191773,62.362793
190,GLASSO,50,2.695175,0.743108,3.329513,32.835251
191,GLASSO,50,2.714536,0.759775,3.399303,55.868126
192,GLASSO,50,2.772752,0.723838,3.535758,62.174969
193,GLASSO,50,2.670468,0.742542,3.252335,55.51237
194,GLASSO,50,2.731118,0.737773,3.479807,52.05866
195,GLASSO,50,2.622764,0.685986,3.100126,31.265525
196,GLASSO,50,2.774271,0.81141,3.661076,79.07866
197,GLASSO,50,2.72378,0.751463,3.388077,49.6881
198,GLASSO,50,2.627771,0.739227,3.180613,37.925768
199,GLASSO,50,2.637833,0.755828,3.184295,54.621183
200,GLASSO,50,2.748144,0.799251,3.573662,56.250681
201,GLASSO,100,4.075375,0.877964,8.517167,198.344996
202,GLASSO,100,3.844763,0.788985,7.234958,128.458742
203,GLASSO,100,3.96442,0.8434,7.726749,138.678104
204,GLASSO,100,3.841027,0.81178,7.073219,94.649622
205,GLASSO,100,3.974373,0.834572,7.71508,159.005938
206,GLASSO,100,3.974754,0.840041,7.669364,129.646106
207,GLASSO,100,3.915476,0.804516,7.47957,123.354084
208,GLASSO,100,4.912989,0.856285,10.663918,909.272587
209,GLASSO,100,3.821791,0.784374,6.995604,97.042863
210,GLASSO,100,4.016997,0.866082,8.07113,176.037781
211,GLASSO,100,3.814186,0.797308,7.167895,100.500716
212,GLASSO,100,4.002484,0.840286,7.799981,148.580209
213,GLASSO,100,3.945634,0.827839,7.585046,130.597997
214,GLASSO,100,4.05354,0.831486,8.112389,199.416305
215,GLASSO,100,4.004832,0.835927,7.887852,153.300253
216,GLASSO,100,3.994954,0.860171,7.986936,126.657196
217,GLASSO,100,3.712736,0.780457,6.821629,121.369274
218,GLASSO,100,3.763015,0.758874,7.009677,104.619491
219,GLASSO,100,3.796423,0.775431,6.924545,102.696899
220,GLASSO,100,3.863674,0.841704,7.200058,136.814137
221,GLASSO,100,3.883743,0.783703,7.372063,128.694061
222,GLASSO,100,3.855183,0.821348,7.294014,131.414238
223,GLASSO,100,3.853143,0.818675,7.151392,138.70823
224,GLASSO,100,3.865133,0.80583,7.371337,123.925653
225,GLASSO,100,3.945531,0.891146,7.709728,128.182132
226,GLASSO,100,3.795881,0.786944,6.90284,139.898291
