,Method,Dimention,L2,SP,KL,QL
1,GLASSO,20,2.694064,0.939133,3.965613,14.94999
2,GLASSO,20,2.571344,0.938339,2.303948,35.595703
3,GLASSO,20,2.556397,0.938337,3.010312,19.523415
4,GLASSO,20,2.44724,0.955273,2.73213,17.206151
5,GLASSO,20,2.598517,0.956225,2.467389,33.41745
6,GLASSO,20,2.576663,0.993385,2.672802,27.679051
7,GLASSO,20,2.429394,0.938759,2.69737,18.455704
8,GLASSO,20,2.639581,0.988414,2.721934,30.070279
9,GLASSO,20,2.34984,0.902704,2.639566,15.722913
10,GLASSO,20,2.466763,0.909374,3.149575,13.795396
11,GLASSO,20,2.559552,0.90241,3.174058,17.275589
12,GLASSO,20,2.366045,0.890112,3.059098,10.433391
13,GLASSO,20,2.572094,0.951008,2.72747,25.732623
14,GLASSO,20,2.744577,0.988518,3.143898,29.266027
15,GLASSO,20,2.669962,0.960938,3.148433,24.719755
16,GLASSO,20,2.469131,0.857534,2.954856,15.753877
17,GLASSO,20,2.558648,0.985584,2.884382,24.428152
18,GLASSO,20,2.640102,0.981728,2.536749,35.912189
19,GLASSO,20,2.45134,0.906936,2.334943,25.700068
20,GLASSO,20,2.623052,0.92876,2.716976,31.194708
21,GLASSO,20,2.54598,0.955911,2.526052,29.513319
22,GLASSO,20,2.62523,0.995792,2.465291,33.982065
23,GLASSO,20,2.626094,0.936356,3.300826,19.086325
24,GLASSO,20,2.550977,0.985446,2.845325,22.247366
25,GLASSO,20,2.575302,0.978006,2.651441,26.239292
26,GLASSO,20,2.636624,0.986461,2.629151,34.217337
27,GLASSO,20,2.654505,0.925822,2.391903,41.896845
28,GLASSO,20,2.504313,0.931533,2.613419,24.819417
29,GLASSO,20,2.806546,0.970843,3.052781,38.745372
30,GLASSO,20,2.768933,0.959292,2.725142,41.602355
31,GLASSO,20,2.579119,0.944151,2.785743,25.078265
32,GLASSO,20,2.474678,0.935711,3.782012,7.608469
33,GLASSO,20,2.551064,0.902681,3.584443,12.017239
34,GLASSO,20,2.478009,0.923243,2.801298,20.60417
35,GLASSO,20,2.65507,0.946125,2.563685,33.475636
36,GLASSO,20,2.448575,0.913993,2.596032,20.572202
37,GLASSO,20,2.607929,0.968058,2.687291,28.253602
38,GLASSO,20,2.34749,0.886972,2.349877,18.489378
39,GLASSO,20,2.406637,0.934096,2.843685,15.56685
40,GLASSO,20,2.518265,0.899982,2.328997,29.997735
41,GLASSO,20,2.529247,0.911119,2.487859,27.714418
42,GLASSO,20,2.505074,0.996191,2.307964,32.539556
43,GLASSO,20,2.520295,0.942682,2.664296,22.598251
44,GLASSO,20,2.536413,0.965825,2.245007,32.213008
45,GLASSO,20,2.684185,0.987092,2.578249,38.53665
46,GLASSO,20,2.678827,0.972931,2.804576,32.113808
47,GLASSO,20,2.740793,0.956772,3.306574,26.808106
48,GLASSO,20,2.455966,0.919261,2.13374,27.852836
49,GLASSO,20,2.720857,0.973551,2.57993,45.313418
50,GLASSO,20,2.60756,0.875852,2.830113,27.734463
51,GLASSO,20,2.539614,0.9354,2.622102,25.512449
52,GLASSO,20,2.609728,0.938819,3.277548,20.064791
53,GLASSO,20,2.610583,0.933588,3.633458,15.413613
54,GLASSO,20,2.68311,0.91507,2.623091,36.923786
55,GLASSO,20,2.538749,0.966226,2.638974,24.964419
56,GLASSO,20,2.501083,0.922345,3.493071,10.660057
57,GLASSO,20,2.559628,0.940083,2.278051,37.647653
58,GLASSO,20,2.422568,0.883778,2.717602,18.159184
59,GLASSO,20,2.589672,0.952401,2.896025,23.894842
60,GLASSO,20,2.635964,0.959972,2.879028,27.831651
61,GLASSO,20,2.575119,0.927197,2.722007,25.988391
62,GLASSO,20,2.584872,1.003227,2.586176,29.172478
63,GLASSO,20,2.605594,1.053268,2.778884,28.913317
64,GLASSO,20,2.556865,0.941396,2.33542,31.932841
65,GLASSO,20,2.723327,1.02316,2.707766,42.565913
66,GLASSO,20,2.490936,0.942168,2.609381,21.429041
67,GLASSO,20,2.5257,0.901424,2.678644,23.313709
68,GLASSO,20,2.416451,0.937357,2.99755,13.61695
69,GLASSO,20,2.48248,0.950176,2.426331,23.976561
70,GLASSO,20,2.332577,0.889055,3.609641,4.804343
71,GLASSO,20,2.520663,0.891475,2.701351,22.750191
72,GLASSO,20,2.598383,0.960648,2.936414,24.172974
73,GLASSO,20,2.510106,0.921506,2.670406,21.879717
74,GLASSO,20,2.526006,0.903484,2.820872,21.700167
75,GLASSO,20,2.495031,0.849427,3.103766,14.740441
76,GLASSO,20,2.47064,0.861148,3.744404,7.321343
77,GLASSO,20,2.411613,0.885535,2.235705,24.477451
78,GLASSO,20,2.518835,0.981555,2.730476,22.318915
79,GLASSO,20,2.605704,0.951928,2.432224,33.433078
80,GLASSO,20,2.471633,0.932385,2.436123,25.556944
81,GLASSO,20,2.520475,0.93373,2.762198,20.770123
82,GLASSO,20,2.424559,0.93556,2.391786,23.551521
83,GLASSO,20,2.586932,0.952394,2.432283,32.579329
84,GLASSO,20,2.47858,0.914728,2.911947,16.241156
85,GLASSO,20,2.504759,0.914869,2.311175,28.175762
86,GLASSO,20,2.354561,0.900874,3.043421,10.353929
87,GLASSO,20,2.555843,0.918635,2.69158,26.523609
88,GLASSO,20,2.477977,0.915804,2.607253,21.838455
89,GLASSO,20,2.652298,0.968607,2.545091,37.713799
90,GLASSO,20,2.387929,0.897552,2.482441,17.51346
91,GLASSO,20,2.650128,0.925379,2.28864,44.874993
92,GLASSO,20,2.592763,0.96822,2.930432,23.43211
93,GLASSO,20,2.609464,1.004597,3.107778,22.478532
94,GLASSO,20,2.496161,0.946642,2.439953,26.013122
95,GLASSO,20,2.395044,0.898849,2.07946,26.768894
96,GLASSO,20,2.749452,0.999965,2.781861,39.046667
97,GLASSO,20,2.557147,0.959304,2.658936,26.206339
98,GLASSO,20,2.456207,0.947898,2.552912,20.592537
99,GLASSO,20,2.65421,0.941921,2.822587,29.569999
100,GLASSO,20,2.661394,0.952899,4.188545,9.948836
101,GLASSO,50,4.095451,1.031849,8.230983,147.748208
102,GLASSO,50,3.938612,1.049644,5.798819,192.161284
103,GLASSO,50,3.916188,1.002839,6.5119,154.709854
104,GLASSO,50,3.817448,0.973855,6.755917,127.366967
105,GLASSO,50,3.91532,1.022899,5.799631,186.731113
106,GLASSO,50,3.951671,1.01267,5.86777,185.712832
107,GLASSO,50,3.872332,1.031284,6.265961,161.432168
108,GLASSO,50,4.074975,1.01493,6.368718,199.167778
