,Method,Dimention,L2,SP,KL,QL
1,GLASSO,20,1.21133,0.509559,0.95517,13.251069
2,GLASSO,20,1.099203,0.488192,0.789969,11.078975
3,GLASSO,20,1.043248,0.449359,0.703813,7.968604
4,GLASSO,20,1.018382,0.484105,0.69752,3.716465
5,GLASSO,20,1.132066,0.494647,0.85924,9.825577
6,GLASSO,20,1.161813,0.506529,0.894917,8.912696
7,GLASSO,20,1.079482,0.486704,0.775709,4.424147
8,GLASSO,20,1.220257,0.476565,0.985618,10.87677
9,GLASSO,20,0.967279,0.400483,0.597023,3.265954
10,GLASSO,20,1.064971,0.472911,0.775225,4.803317
11,GLASSO,20,1.093702,0.40435,0.760009,6.858633
12,GLASSO,20,1.036044,0.509016,0.688862,2.017258
13,GLASSO,20,1.035687,0.470895,0.71283,8.980539
14,GLASSO,20,1.266435,0.521881,1.084754,13.65206
15,GLASSO,20,1.15903,0.484558,0.87205,12.362695
16,GLASSO,20,1.056796,0.453488,0.737526,4.431098
17,GLASSO,20,1.164527,0.508815,0.974206,9.590095
18,GLASSO,20,1.157456,0.478637,0.87822,13.727696
19,GLASSO,20,1.01648,0.44192,0.680487,5.630852
20,GLASSO,20,1.183132,0.423995,0.90242,11.202707
21,GLASSO,20,1.067528,0.540629,0.774035,9.12719
22,GLASSO,20,1.152705,0.458309,0.884787,10.91635
23,GLASSO,20,1.069357,0.43259,0.752385,9.448674
24,GLASSO,20,1.088707,0.45624,0.78524,9.589434
25,GLASSO,20,1.163044,0.498697,0.880644,7.082915
26,GLASSO,20,1.156855,0.49054,0.875976,12.79626
27,GLASSO,20,1.165357,0.472594,0.895279,14.635069
28,GLASSO,20,1.065274,0.447664,0.746645,7.265343
29,GLASSO,20,1.350018,0.553198,1.295559,17.498876
30,GLASSO,20,1.231349,0.58687,1.010883,17.587135
31,GLASSO,20,1.13113,0.529858,0.852515,8.516078
32,GLASSO,20,1.015838,0.449772,0.705196,4.148725
33,GLASSO,20,1.083836,0.492322,0.790072,7.04327
34,GLASSO,20,1.078863,0.486819,0.787856,5.12266
35,GLASSO,20,1.12021,0.454888,0.830146,11.169186
36,GLASSO,20,1.141715,0.483627,0.841716,3.890197
37,GLASSO,20,1.153314,0.514976,0.907754,9.730067
38,GLASSO,20,0.925524,0.461114,0.569801,2.447448
39,GLASSO,20,1.09341,0.506036,0.774566,3.603177
40,GLASSO,20,1.090271,0.471884,0.764408,6.479196
41,GLASSO,20,1.20898,0.512105,0.921991,6.129996
42,GLASSO,20,1.129601,0.464535,0.819979,8.259717
43,GLASSO,20,1.10159,0.482122,0.80578,5.617307
44,GLASSO,20,1.118122,0.544081,0.825507,7.76742
45,GLASSO,20,1.215325,0.519817,0.998269,14.223576
46,GLASSO,20,1.215141,0.504859,1.014519,11.98249
47,GLASSO,20,1.297742,0.498935,1.100423,13.737155
48,GLASSO,20,0.996446,0.432823,0.632154,5.389776
49,GLASSO,20,1.224349,0.496553,1.012239,16.778273
50,GLASSO,20,1.1313,0.476261,0.819431,11.287744
51,GLASSO,20,1.166889,0.528592,0.909396,6.070116
52,GLASSO,20,1.172265,0.50567,0.944659,9.452252
53,GLASSO,20,1.167937,0.529679,0.905347,8.894337
54,GLASSO,20,1.174513,0.511173,0.89246,13.125542
55,GLASSO,20,1.114461,0.477909,0.823253,7.442684
56,GLASSO,20,1.026719,0.430768,0.694739,5.248978
57,GLASSO,20,1.287795,0.523581,1.126724,8.649048
58,GLASSO,20,0.887188,0.407587,0.52147,3.995508
59,GLASSO,20,1.139325,0.577951,0.905376,7.848778
60,GLASSO,20,1.14308,0.499197,0.856424,11.303234
61,GLASSO,20,1.021394,0.434333,0.688559,9.344118
