,Method,Dimention,L2,SP,KL,QL
93,GLASSO,20,1.170114,0.485223,0.8654,10.731619
94,GLASSO,20,0.988764,0.451817,0.5956,7.341156
95,GLASSO,20,0.963355,0.385157,0.53874,4.109256
96,GLASSO,20,1.201012,0.501758,0.935388,19.094951
97,GLASSO,20,1.034638,0.485678,0.704741,8.766898
98,GLASSO,20,0.921577,0.436476,0.531626,6.471698
99,GLASSO,20,1.065355,0.469372,0.721506,13.622973
100,GLASSO,20,1.168341,0.495263,0.886931,11.881609
101,GLASSO,50,1.902776,0.585639,2.462195,73.427723
102,GLASSO,50,1.780325,0.556195,2.055023,46.642729
103,GLASSO,50,1.730756,0.539368,1.928151,40.616325
104,GLASSO,50,1.677271,0.523295,1.700729,32.186574
105,GLASSO,50,1.667931,0.551233,1.811902,49.638813
106,GLASSO,50,1.736552,0.565853,1.982224,44.484932
107,GLASSO,50,1.635047,0.536487,1.710592,46.700863
108,GLASSO,50,1.783658,0.565547,2.15745,61.412682
109,GLASSO,50,1.557873,0.507269,1.51118,31.239483
110,GLASSO,50,1.790318,0.597212,2.144104,55.11761
111,GLASSO,50,1.901416,0.778787,2.126171,34.2878
112,GLASSO,50,1.617766,0.564795,1.654458,38.028773
113,GLASSO,50,1.705399,0.501029,1.860508,36.298502
114,GLASSO,50,1.878013,0.58384,2.367868,71.778736
115,GLASSO,50,1.752327,0.521162,2.004206,45.286026
116,GLASSO,50,1.702783,0.597315,1.952116,37.416894
117,GLASSO,50,1.797856,0.55567,2.127074,44.831245
118,GLASSO,50,1.747953,0.552015,2.024659,40.395624
119,GLASSO,50,1.724628,0.523131,1.80342,28.818261
120,GLASSO,50,1.635228,0.502885,1.704095,37.66975
121,GLASSO,50,1.722472,0.555901,1.947257,45.011154
122,GLASSO,50,1.633499,0.571499,1.757446,37.162044
123,GLASSO,50,1.704375,0.542011,1.877933,43.911321
124,GLASSO,50,1.758433,0.601024,2.048959,52.479987
125,GLASSO,50,1.705105,0.513825,1.862408,49.153964
126,GLASSO,50,1.630415,0.51882,1.682958,35.887992
127,GLASSO,50,1.777797,0.588262,2.117007,50.562566
128,GLASSO,50,1.574298,0.523016,1.549326,27.847391
129,GLASSO,50,2.461227,0.571146,4.110932,262.898812
130,GLASSO,50,1.823433,0.536584,2.153418,56.728956
131,GLASSO,50,1.779113,0.53358,1.997817,33.154759
132,GLASSO,50,1.680288,0.511871,1.772126,36.068765
133,GLASSO,50,1.622571,0.561308,1.681241,31.834432
134,GLASSO,50,1.832277,0.710559,1.988545,22.996356
135,GLASSO,50,2.322883,0.554696,3.558089,226.610144
136,GLASSO,50,1.782089,0.67251,2.164928,47.071518
137,GLASSO,50,1.795303,0.555091,2.118538,48.145879
138,GLASSO,50,1.581223,0.501947,1.49934,14.337877
139,GLASSO,50,1.655823,0.533921,1.721887,32.328607
140,GLASSO,50,1.762586,0.512919,1.947344,46.213928
141,GLASSO,50,1.742144,0.563034,1.969094,49.442346
142,GLASSO,50,1.678735,0.544003,1.81204,35.699693
143,GLASSO,50,1.656081,0.526602,1.756732,38.741698
144,GLASSO,50,1.765336,0.560776,2.024288,37.436199
145,GLASSO,50,1.71287,0.579413,1.928218,45.916606
146,GLASSO,50,1.695822,0.55032,1.87781,49.892313
147,GLASSO,50,1.712476,0.537183,1.866652,46.43737
148,GLASSO,50,1.495118,0.461333,1.371108,26.404483
149,GLASSO,50,1.794819,0.580148,2.163689,61.929738
150,GLASSO,50,1.624495,0.496904,1.679829,39.07327
151,GLASSO,50,1.841526,0.539075,2.241929,52.166216
152,GLASSO,50,1.716724,0.486452,1.822318,34.841379
153,GLASSO,50,1.692813,0.579296,1.86129,46.455014
154,GLASSO,50,1.826078,0.514378,2.130778,53.061015
155,GLASSO,50,1.792541,0.507161,2.027514,29.177451
156,GLASSO,50,1.510607,0.50248,1.405769,23.885812
157,GLASSO,50,1.785593,0.563292,2.042153,43.437519
158,GLASSO,50,1.69692,0.550187,1.777049,23.826508
159,GLASSO,50,1.763538,0.542885,2.02247,44.452194
160,GLASSO,50,1.79478,0.576916,2.147536,54.856693
161,GLASSO,50,1.698597,0.550828,1.890446,49.220397
162,GLASSO,50,1.747668,0.533932,2.017778,52.956594
163,GLASSO,50,1.693632,0.557632,1.885193,41.86557
164,GLASSO,50,1.68469,0.545614,1.804669,37.343636
165,GLASSO,50,1.811111,0.521133,2.133228,63.293976
166,GLASSO,50,1.519016,0.484242,1.426017,28.921956
167,GLASSO,50,1.68815,0.553585,1.839196,33.39803
168,GLASSO,50,1.649367,0.534976,1.770213,35.24421
169,GLASSO,50,1.582614,0.57815,1.612926,34.284887
170,GLASSO,50,1.439288,0.488718,1.258582,15.705482
171,GLASSO,50,1.740219,0.569121,1.984756,31.986413
172,GLASSO,50,1.763258,0.548912,2.029722,41.017117
173,GLASSO,50,1.763577,0.538872,2.019357,39.908934
174,GLASSO,50,1.727909,0.557434,1.967831,48.756659
175,GLASSO,50,1.817539,0.607831,2.093283,27.841866
176,GLASSO,50,1.711878,0.560758,1.888925,29.887324
177,GLASSO,50,1.663295,0.538615,1.735055,15.193334
178,GLASSO,50,1.835038,0.522224,2.139967,38.230694
179,GLASSO,50,1.72268,0.514922,1.885069,36.048651
180,GLASSO,50,1.712503,0.555975,1.950459,41.168313
181,GLASSO,50,1.767781,0.513183,1.89129,22.761412
182,GLASSO,50,1.7078,0.538242,1.864473,36.643837
183,GLASSO,50,1.781331,0.517266,2.032104,41.946053
184,GLASSO,50,1.614833,0.521857,1.66198,34.547122
185,GLASSO,50,1.634482,0.545387,1.680625,40.668527
186,GLASSO,50,1.395307,0.442147,1.167587,23.509468
187,GLASSO,50,1.681939,0.555309,1.829783,42.907011
188,GLASSO,50,1.625448,0.572988,1.696911,32.54232
189,GLASSO,50,1.7361,0.520711,1.94816,47.958363
190,GLASSO,50,1.631201,0.549319,1.690823,35.752437
191,GLASSO,50,1.780098,0.564146,2.053931,44.053541
192,GLASSO,50,1.856882,0.549925,2.279256,49.223853
193,GLASSO,50,1.732482,0.558081,1.974184,46.247988
194,GLASSO,50,1.749982,0.556386,1.987831,57.385073
195,GLASSO,50,1.688115,0.498223,1.767619,25.478607
196,GLASSO,50,1.863039,0.657537,2.409132,65.485105
197,GLASSO,50,1.692639,0.592691,1.874746,45.115827
198,GLASSO,50,1.660352,0.512374,1.795208,33.54608
199,GLASSO,50,1.661476,0.482841,1.744766,51.125778
200,GLASSO,50,2.272411,0.528091,3.370878,212.018331
201,GLASSO,100,3.442096,0.580779,7.480575,952.384264
202,GLASSO,100,3.171802,0.551704,6.151064,776.102297
203,GLASSO,100,2.795304,0.677046,5.124317,122.834347
204,GLASSO,100,2.730888,0.628373,4.589091,72.591523
205,GLASSO,100,3.278182,0.568118,6.648022,851.037117
206,GLASSO,100,2.797551,0.643186,5.17207,101.204569
207,GLASSO,100,3.194763,0.549009,6.240147,772.505714
208,GLASSO,100,3.357197,0.598685,7.101971,890.867329
209,GLASSO,100,2.652807,0.604994,4.366047,85.702711
210,GLASSO,100,2.907697,0.657101,5.585814,157.272938
211,GLASSO,100,3.123518,0.579502,6.008422,701.944535
212,GLASSO,100,3.29882,0.588294,6.80042,829.554245
