,Method,Dimention,L2,SP,KL,QL
1,GLASSO,20,2.062667,1.116834,2.291107,9.231662
2,GLASSO,20,1.779785,1.046621,1.37807,13.962847
3,GLASSO,20,1.834402,1.04637,1.602336,8.796942
4,GLASSO,20,1.755658,0.960208,1.580206,4.663914
5,GLASSO,20,1.865566,1.117661,1.674206,10.497294
6,GLASSO,20,1.974284,1.169201,1.865824,6.807457
7,GLASSO,20,1.744247,0.96376,1.670791,4.70958
8,GLASSO,20,1.886023,0.989153,1.796931,12.186072
9,GLASSO,20,1.5987,0.850696,1.32847,5.612196
10,GLASSO,20,1.727621,0.964874,1.79196,5.045571
11,GLASSO,20,1.876357,1.127324,1.62425,8.173925
12,GLASSO,20,1.79627,1.042063,1.741198,2.044054
13,GLASSO,20,1.76258,0.967741,1.427688,11.822329
14,GLASSO,20,1.99575,1.003745,2.053653,13.590864
15,GLASSO,20,1.875125,1.014316,1.731759,12.617326
16,GLASSO,20,1.81134,1.021847,1.649406,4.586797
17,GLASSO,20,1.705206,0.8651,1.651339,13.29751
18,GLASSO,20,1.922566,1.032466,1.989069,11.212314
19,GLASSO,20,1.747346,1.025335,1.413472,7.632096
20,GLASSO,20,1.887372,0.994708,1.759719,12.462373
21,GLASSO,20,1.885248,0.974463,1.73043,8.711991
22,GLASSO,20,1.986168,1.146172,1.736509,10.960219
23,GLASSO,20,1.845987,0.854623,1.704751,10.483129
24,GLASSO,20,1.855067,0.941286,1.809862,8.789836
25,GLASSO,20,1.888899,0.955856,1.767218,7.072598
26,GLASSO,20,1.991361,1.072027,1.866049,10.43439
27,GLASSO,20,1.860149,0.993941,1.600389,16.540221
28,GLASSO,20,1.768551,1.045156,1.426326,9.764224
29,GLASSO,20,1.978814,1.000732,2.117657,18.709471
30,GLASSO,20,1.886926,0.906334,1.6274,22.193115
31,GLASSO,20,1.975424,1.015112,2.125913,5.315605
32,GLASSO,20,1.904731,0.962888,2.063369,2.18207
33,GLASSO,20,1.803737,0.931792,1.686074,7.554904
34,GLASSO,20,1.656896,0.999293,1.321963,10.241386
35,GLASSO,20,1.864506,0.926637,1.559809,14.334047
36,GLASSO,20,1.872239,0.988047,1.913595,3.456713
37,GLASSO,20,1.845629,1.126436,1.609549,12.304055
38,GLASSO,20,1.715308,0.950164,1.420039,3.001359
39,GLASSO,20,1.837233,1.008587,1.870208,2.015937
40,GLASSO,20,1.820619,1.070231,1.535108,8.503191
41,GLASSO,20,1.819795,0.985802,1.590517,8.653576
42,GLASSO,20,1.871931,1.202463,1.616449,7.736757
43,GLASSO,20,1.831201,0.990009,1.632616,6.585103
44,GLASSO,20,1.755279,1.085597,1.366395,10.866368
45,GLASSO,20,1.962141,1.004465,1.777084,15.059677
46,GLASSO,20,1.973214,1.063548,1.695829,14.992354
47,GLASSO,20,2.064434,1.063388,2.251526,11.948107
48,GLASSO,20,1.666287,0.906997,1.306536,7.870253
49,GLASSO,20,1.983869,1.133432,1.845515,15.509423
50,GLASSO,20,1.9407,1.112788,1.738514,10.556968
51,GLASSO,20,1.93578,1.014619,1.906139,5.855358
52,GLASSO,20,1.931263,1.036273,2.144513,7.699987
53,GLASSO,20,2.003819,1.030893,2.082487,7.07566
54,GLASSO,20,1.876103,1.038932,1.58446,16.045573
55,GLASSO,20,1.785668,1.046,1.584845,8.730141
56,GLASSO,20,1.947852,1.114409,2.044164,2.905232
57,GLASSO,20,1.68689,0.859007,1.394625,16.423425
58,GLASSO,20,1.864503,1.017994,1.613479,3.219717
59,GLASSO,20,1.90634,1.025252,1.829252,7.239676
60,GLASSO,20,1.935391,1.038226,1.683737,10.70304
61,GLASSO,20,1.804739,0.999212,1.518585,11.274125
62,GLASSO,20,1.910418,0.953908,1.706952,9.651892
63,GLASSO,20,1.89264,1.041506,1.816218,11.682692
64,GLASSO,20,1.882279,1.118948,1.737047,8.085491
65,GLASSO,20,1.887017,1.034533,1.745177,20.871258
66,GLASSO,20,1.807634,0.996765,1.654965,5.371442
67,GLASSO,20,1.801293,1.051398,1.400232,8.440844
68,GLASSO,20,1.707764,1.01204,1.659636,4.064725
69,GLASSO,20,1.816755,0.933164,1.625929,5.217406
70,GLASSO,20,1.762389,0.992593,1.719395,0.703842
71,GLASSO,20,1.935932,1.02274,1.904753,4.472145
72,GLASSO,20,1.874916,1.035804,1.948735,9.372711
73,GLASSO,20,1.695696,1.023925,1.382735,9.464243
74,GLASSO,20,1.855184,0.858306,1.699079,8.664832
75,GLASSO,20,1.858845,1.063899,1.64155,4.655921
76,GLASSO,20,1.871629,1.159361,1.936447,2.561389
77,GLASSO,20,1.764802,0.969345,1.455726,5.388863
78,GLASSO,20,1.774894,1.037719,1.499809,9.796894
79,GLASSO,20,1.784889,1.049531,1.31634,16.335436
80,GLASSO,20,1.710209,0.964884,1.361898,9.026104
81,GLASSO,20,1.889365,1.015709,1.867928,3.943447
82,GLASSO,20,1.75915,0.943165,1.543621,5.265626
83,GLASSO,20,1.827402,1.076381,1.47431,12.386609
84,GLASSO,20,1.916992,1.088115,2.096149,2.660075
85,GLASSO,20,1.765242,0.871582,1.469214,7.826513
86,GLASSO,20,1.752159,1.038599,1.527312,2.465227
87,GLASSO,20,1.844585,0.982174,1.754634,8.435122
88,GLASSO,20,1.763488,0.945284,1.621476,6.194971
89,GLASSO,20,1.943979,1.1888,1.664723,14.815036
90,GLASSO,20,1.68169,0.942355,1.463056,3.810719
91,GLASSO,20,1.847861,0.996707,1.569098,16.560098
92,GLASSO,20,1.974608,1.044771,1.940117,8.419329
93,GLASSO,20,2.033735,1.088908,2.157638,6.731405
94,GLASSO,20,1.847734,1.098137,1.603816,7.405713
95,GLASSO,20,1.71494,0.837941,1.548562,4.634649
96,GLASSO,20,2.053876,1.110677,1.953279,16.665842
97,GLASSO,20,1.818492,1.056065,1.547907,11.523187
98,GLASSO,20,1.792457,0.959193,1.653695,5.540572
99,GLASSO,20,1.962535,1.023073,1.945299,10.489671
100,GLASSO,20,2.000841,1.091545,2.573738,4.748064
101,GLASSO,50,3.632979,1.469116,8.66259,31.734978
102,GLASSO,50,3.497265,1.456356,7.059837,33.335651
103,GLASSO,50,3.557718,1.463613,8.445296,9.14254
104,GLASSO,50,3.488968,1.412207,8.195979,7.315122
105,GLASSO,50,3.465515,1.355519,7.671221,22.822008
106,GLASSO,50,3.532919,1.398243,8.079909,13.739107
107,GLASSO,50,3.561383,1.391827,8.425352,9.740633
108,GLASSO,50,3.528784,1.403863,7.627452,31.805045
109,GLASSO,50,3.443262,1.344555,8.039161,5.109475
110,GLASSO,50,3.567539,1.428059,8.459615,17.559907
111,GLASSO,50,3.45342,1.388575,7.786667,16.193074
112,GLASSO,50,3.526788,1.385206,8.249981,7.415316
113,GLASSO,50,3.409321,1.374896,7.115205,26.408624
114,GLASSO,50,3.662134,1.495045,8.550221,28.789735
115,GLASSO,50,3.415506,1.364432,7.333984,30.724514
116,GLASSO,50,3.53912,1.41865,8.334072,11.727936
117,GLASSO,50,3.380986,1.363783,7.495195,30.185073
118,GLASSO,50,3.484859,1.450466,8.150455,17.436968
119,GLASSO,50,3.407674,1.386049,7.339002,13.318316
120,GLASSO,50,3.384999,1.32644,7.304899,22.506086
121,GLASSO,50,3.546956,1.411493,8.015512,11.882177
122,GLASSO,50,3.41788,1.383507,7.176018,20.277634
123,GLASSO,50,3.518046,1.373313,7.539172,22.068639
124,GLASSO,50,3.516588,1.329504,8.10278,19.793549
125,GLASSO,50,3.59044,1.436168,8.146346,16.224315
126,GLASSO,50,3.420812,1.371212,7.402171,19.600765
127,GLASSO,50,3.466305,1.329157,7.308515,37.241794
128,GLASSO,50,3.363341,1.361641,7.366053,11.558984
129,GLASSO,50,3.648052,1.465843,7.900534,61.277296
130,GLASSO,50,3.415302,1.372871,6.845913,46.515428
131,GLASSO,50,3.451114,1.391418,8.284724,9.006822
132,GLASSO,50,3.551851,1.425083,8.461949,8.115618
133,GLASSO,50,3.404739,1.410208,7.398097,19.938882
134,GLASSO,50,3.359308,1.333935,7.029671,17.106337
135,GLASSO,50,3.611733,1.408752,7.759368,35.373123
136,GLASSO,50,3.603894,1.415639,9.302471,6.397926
137,GLASSO,50,3.473889,1.368557,7.518265,27.797579
138,GLASSO,50,3.417867,1.402177,7.652388,3.127759
139,GLASSO,50,3.447621,1.350705,7.796196,8.537827
140,GLASSO,50,3.566901,1.414813,8.009261,19.008052
141,GLASSO,50,3.535163,1.400342,7.791114,22.793988
142,GLASSO,50,3.486523,1.418862,7.729834,15.555776
143,GLASSO,50,3.463108,1.348168,7.854021,13.814087
144,GLASSO,50,3.453677,1.424129,7.111963,25.231228
145,GLASSO,50,3.45504,1.367882,7.489358,23.871423
146,GLASSO,50,3.395477,1.373727,7.012224,31.970931
147,GLASSO,50,3.392511,1.391752,7.569855,26.253417
148,GLASSO,50,3.44944,1.385385,7.617565,5.972706
149,GLASSO,50,3.51045,1.512194,7.474265,38.963003
150,GLASSO,50,3.39401,1.377508,7.242722,25.767508
151,GLASSO,50,3.630973,1.422648,8.665076,11.997448
152,GLASSO,50,3.389383,1.345687,8.072502,12.036745
153,GLASSO,50,3.505734,1.411421,7.675828,25.295798
154,GLASSO,50,3.472139,1.296737,7.534041,30.461869
155,GLASSO,50,3.427209,1.363004,8.098835,7.770776
156,GLASSO,50,3.40844,1.355613,8.127209,2.255391
157,GLASSO,50,3.419899,1.397844,7.426957,22.56578
158,GLASSO,50,3.536858,1.432189,7.960256,7.061572
159,GLASSO,50,3.565411,1.39067,8.245391,15.764901
160,GLASSO,50,3.537213,1.403904,7.779578,31.497167
161,GLASSO,50,3.489707,1.410062,7.238436,33.184791
162,GLASSO,50,3.563681,1.396708,7.647616,26.568254
163,GLASSO,50,3.419977,1.351021,7.375059,24.625893
164,GLASSO,50,3.441272,1.319822,7.575917,19.279608
165,GLASSO,50,3.459989,1.353583,6.837809,54.728591
166,GLASSO,50,3.405959,1.41092,7.522469,7.479785
167,GLASSO,50,3.477362,1.451123,7.728437,14.023763
168,GLASSO,50,3.527568,1.459711,8.599663,6.644739
169,GLASSO,50,3.522327,1.47289,7.740702,15.09827
170,GLASSO,50,3.393728,1.375388,8.030051,0.946949
171,GLASSO,50,3.474848,1.375047,8.107492,9.944879
172,GLASSO,50,3.498679,1.437826,7.700744,22.485314
173,GLASSO,50,3.448327,1.383797,7.22289,27.36045
174,GLASSO,50,3.542327,1.41938,8.390869,16.305088
175,GLASSO,50,3.477531,1.401225,8.106706,10.463801
176,GLASSO,50,3.544229,1.444731,8.984796,2.544594
177,GLASSO,50,3.385009,1.367631,6.982668,9.262354
