"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"1" 1.04174190961869 -0.20836282957231 -0.00173359260569252 0.00902915424277358 -0.00173371782869276 -2.94743251025275e-05 7.81387346563767e-05 -1.44006450284551e-05 -3.75687061739946e-07 6.75212840721837e-07 -1.19397174211631e-07 -4.25480983291209e-09 5.82626258608932e-09 -9.8803677132768e-10 -4.51574194034412e-11 5.02032826746905e-11 -8.1596577383434e-12 -4.59909830659118e-13 4.31998641869148e-13 -6.72414258413098e-14 -4.55202588316684e-15 3.71239676195705e-15 -5.5284939321346e-16 -4.4116825714882e-17 3.18610322925081e-17 -4.53431448024012e-18 -4.20713123632344e-19 2.73091876506032e-19 -3.70911830290925e-20 -3.9608991034862e-21 2.33781234693015e-21 -3.02545508064708e-22 -3.69025864066597e-23 1.99880024864548e-23 -2.46015887239176e-24 -3.40827701403908e-25 1.70684291199476e-25 -1.99370453956379e-26 -3.12467359739876e-27 1.45574828447236e-27 -1.60965708678594e-28 -2.84651857841972e-29 1.24008209228028e-29 -1.29420108847299e-30 -2.57880028124303e-31 1.05508522629597e-31 -1.03573904782475e-32 -2.32488425419426e-33 8.96598203475109e-34 -8.24549008788783e-35 -2.08688332645265e-35 7.60992511330489e-36 -6.52493034080155e-37 -1.86595460710754e-37 6.45108535596605e-38 -5.12769293356184e-39 -1.6625366897781e-39 5.46199700387995e-40 -3.99701493388708e-41 -1.4765380553197e-41 4.61882407587655e-42 -3.08560243100067e-43 -1.30748576557797e-43 3.90091341048624e-44 -2.3541169556142e-45 -1.15464195443802e-45 3.2903969602993e-46 -1.76989459905735e-47 -1.0170942991093e-47 2.77183900816943e-48 -1.30586340584192e-49 -8.93825552760859e-50 2.33192412311241e-50 -9.39629501941861e-52 -7.83766303772381e-52 1.95918187873705e-52 -6.52706647385077e-54 -6.85834366961992e-54 1.64374459822207e-54 -4.29867550638176e-56 -5.98963582821611e-56 1.37713465158425e-56 -2.58598428161876e-58 -5.22124280630421e-58 1.15207810147531e-58 -1.28641001027979e-60 -4.54337232290006e-60 9.62341764259781e-61 -3.16084492982525e-63 -3.94682570653279e-62 8.02591017342264e-63 3.93361554293774e-65 -3.42304856248234e-64 6.68265937213863e-65 8.97487029379291e-67 -2.96415236976146e-66 5.55473755627851e-67 1.24115976144905e-68 -2.56270593407252e-68 4.62894796356543e-69
"2" -0.20836282957231 1.08341736526324 -0.208016087008425 -0.00353954867724749 0.0093759218529954 -0.00172782255490048 -4.51031557196636e-05 8.10190633808816e-05 -1.43255024058006e-05 -5.10738994236217e-07 6.9909393145263e-07 -1.18546153236193e-07 -5.42014315305585e-09 6.02388364318078e-09 -9.79004661170445e-10 -5.51987721946964e-11 5.18353273865377e-11 -8.06766939384132e-12 -5.46315550310158e-13 4.45447859591319e-13 -6.63309575338092e-14 -5.29455672182686e-15 3.8229743079247e-15 -5.44025416225661e-16 -5.04894740457836e-17 3.27679580737886e-17 -4.45016602075237e-18 -4.75335286374013e-19 2.80510627519855e-19 -3.62989482757121e-20 -4.42849399538582e-21 2.39832564446834e-21 -2.95164478990968e-22 -4.09004641123772e-23 2.0480068380239e-23 -2.39198860525992e-24 -3.74966926820004e-25 1.74671976780319e-25 -1.93120673408698e-26 -3.41584344368893e-27 1.48794365859977e-27 -1.55272276745469e-28 -3.09455219525294e-29 1.26596790894369e-29 -1.24262150637685e-30 -2.7898319592058e-31 1.07580144369211e-31 -9.89238138419144e-33 -2.50421632957741e-33 9.13090327196536e-34 -7.82808448015328e-35 -2.23909238272667e-35 7.74043276937771e-36 -6.15171354093917e-37 -1.99498526106996e-37 6.55364632610174e-38 -4.79516253831572e-39 -1.77178420495779e-39 5.54194284591412e-40 -3.70168684509951e-41 -1.56892094256464e-41 4.68054040383861e-42 -2.82408714470383e-43 -1.38550944386341e-43 3.94799901446232e-44 -2.12317255129656e-45 -1.22045445701028e-45 3.3257973069014e-46 -1.56646163341824e-47 -1.07253492346438e-47 2.79795808735438e-48 -1.1270858990548e-49 -9.40467269308241e-50 2.35071801629906e-50 -7.82865371335634e-52 -8.22952658485696e-52 1.97223691690669e-52 -5.1553026233358e-54 -7.18711538593218e-54 1.65234254540699e-54 -3.10066527203149e-56 -6.26508185765656e-56 1.38230697879095e-56 -1.54166330829455e-58 -5.4516744044719e-58 1.15465109990474e-58 -3.77672534846449e-61 -4.73585402222055e-60 9.62973977082685e-61 4.73335385826925e-63 -4.10735504092801e-62 8.01804239679083e-63 1.07801874018035e-64 -3.55671101729233e-64 6.66470835212882e-65 1.49035874336087e-66 -3.07524712088703e-66 5.52951143204036e-67 1.75450680628189e-68 -2.56270593407252e-68
"3" -0.00173359260569252 -0.208016087008425 1.08342025018444 -0.208031112683102 -0.00353666354765787 0.00937597090206559 -0.0017279525878111 -4.507919119303e-05 8.10196885725018e-05 -1.43266260468648e-05 -5.10540301972381e-07 6.99101012003769e-07 -1.18555848886954e-07 -5.41849893271192e-09 6.02395879093825e-09 -9.79088205893781e-10 -5.51851934741038e-11 5.18360927356845e-11 -8.06838829517791e-12 -5.46203651923851e-13 4.45455434748217e-13 -6.63371354397919e-14 -5.29363670928701e-15 3.82304772400035e-15 -5.44078437083785e-16 -5.048192836294e-17 3.27686581945704e-17 -4.45062048078072e-18 -4.75273561871963e-19 2.80517218965715e-19 -3.63028386963246e-20 -4.42799052072398e-21 2.39838705512133e-21 -2.95197741599483e-22 -4.08963700914007e-23 2.04806355613973e-23 -2.39227264588687e-24 -3.74933749010646e-25 1.74677176639318e-25 -1.93144898933643e-26 -3.41557557603403e-27 1.48799102833228e-27 -1.55292913307422e-28 -3.09433682353596e-29 1.26601082349918e-29 -1.24279708613703e-30 -2.78965959889868e-31 1.07584013275814e-31 -9.89387343899068e-33 -2.50407911401072e-33 9.13125055620825e-34 -7.82935086962887e-35 -2.23898379948847e-35 7.74074328823844e-36 -6.15278708456533e-37 -1.99489992966041e-37 6.55392299360311e-38 -4.79607148491092e-39 -1.77171768948529e-39 5.54218856084899e-40 -3.70245547686818e-41 -1.56886959416914e-41 4.68075798629683e-42 -2.82473630689856e-43 -1.38547026832761e-43 3.94819116174333e-44 -2.12372011569687e-45 -1.22042500368636e-45 3.32596656448238e-46 -1.56692290310168e-47 -1.07251319221671e-47 2.79810683142955e-48 -1.12747396123983e-49 -9.40451632664062e-50 2.35084844509877e-50 -7.83191404414157e-52 -8.22941796607075e-52 1.97235104857177e-52 -5.15803802589071e-54 -7.18704385043953e-54 1.6524422206556e-54 -3.10295700132353e-56 -6.26503882355005e-56 1.38239386699078e-56 -1.54358051452333e-58 -5.45165299695377e-58 1.15472670746734e-58 -3.79273995391789e-61 -4.7358487621678e-60 9.63039657341851e-61 4.71999771083477e-63 -4.10736158696886e-62 8.01861203611567e-63 1.07690665611506e-64 -3.55672593340923e-64 6.66520155272321e-65 1.48939171373886e-66 -3.07504565638244e-66 5.52951143204036e-67 1.24115976144904e-68
"4" 0.00902915424277358 -0.00353954867724748 -0.208031112683102 1.08349850913283 -0.208046139443132 -0.00353691901230329 0.0093766481587652 -0.00172807740341461 -4.50824474087935e-05 8.10255408866204e-05 -1.43276609053957e-05 -5.1057717994945e-07 6.99151510330718e-07 -1.18564412559322e-07 -5.41889032841295e-09 6.02439392096286e-09 -9.79158928601207e-10 -5.51891796790942e-11 5.18398370242978e-11 -8.06897110095717e-12 -5.46243105980021e-13 4.45487611434846e-13 -6.63419271856152e-14 -5.29401908578583e-15 3.82332387510097e-15 -5.44117737628814e-16 -5.04855748358813e-17 3.27710251807238e-17 -4.4509419634911e-18 -4.75307892418345e-19 2.80537481631618e-19 -3.63054609677649e-20 -4.42831036879916e-21 2.39856029837457e-21 -2.95219064687011e-22 -4.08993241684689e-23 2.04821149439371e-23 -2.39244544747655e-24 -3.74960831687852e-25 1.74689794136683e-25 -1.93158850414312e-26 -3.41582229410366e-27 1.48809851073633e-27 -1.55304130616758e-28 -3.09456033749163e-29 1.26610227155517e-29 -1.2428868573897e-30 -2.78986110503311e-31 1.07591784417013e-31 -9.8945881054654e-33 -2.50425999174317e-33 9.13191013596586e-34 -7.82991640896186e-35 -2.23914552852905e-35 7.74130242715926e-36 -6.15323152027421e-37 -1.99504402773372e-37 6.55439640465594e-38 -4.7964179206645e-39 -1.77184566638364e-39 5.54258889105186e-40 -3.7027229172008e-41 -1.56898291869356e-41 4.68109609258348e-42 -2.82494034673704e-43 -1.38557034532562e-43 3.94847635235916e-44 -2.12387351886881e-45 -1.22051315893116e-45 3.32620680980331e-46 -1.5670360870103e-47 -1.07259066331303e-47 2.79830894773489e-48 -1.12755540233023e-49 -9.40519564526856e-50 2.35101825448446e-50 -7.83247976862094e-52 -8.2300124035439e-52 1.97249351786648e-52 -5.15841060765811e-54 -7.18756299385933e-54 1.6525615819011e-54 -3.10318113794252e-56 -6.26549136756505e-56 1.38249372177037e-56 -1.54369201233574e-58 -5.45204678748007e-58 1.15481011711174e-58 -3.79301391579029e-61 -4.73619084783935e-60 9.63109220810716e-61 4.72033865152525e-63 -4.10765827497881e-62 8.01919124656635e-63 1.07698443525515e-64 -3.55698284371375e-64 6.66568506753421e-65 1.48939171373886e-66 -3.07524712088703e-66 5.55473755627851e-67
"5" -0.00173371782869276 0.0093759218529954 -0.00353666354765788 -0.208046139443132 1.08350139447082 -0.208046090390518 -0.0035370490546066 0.00937667212502287 -0.00172807677817783 -4.50835711310219e-05 8.10257395932364e-05 -1.43276538243331e-05 -5.10586876300558e-07 6.9915315466983e-07 -1.18564337406136e-07 -5.41897387917099e-09 6.02440750066429e-09 -9.79158163196777e-10 -5.51898986323594e-11 5.18399489307669e-11 -8.0689635252531e-12 -5.46249284332253e-13 4.45488531513841e-13 -6.63418537642365e-14 -5.29407211047383e-15 3.82333142132887e-15 -5.4411703745746e-16 -5.04860293287368e-17 3.27710869096844e-17 -4.45093537156912e-18 -4.75311783119975e-19 2.80537985142647e-19 -3.6305399552676e-20 -4.42834363381034e-21 2.39856439269127e-21 -2.95218497464884e-22 -4.0899608229613e-23 2.0482148124143e-23 -2.39244024724195e-24 -3.74963254415335e-25 1.74690062023687e-25 -1.93158376682771e-26 -3.41584293215626e-27 1.48810066460907e-27 -1.55303701440205e-28 -3.09457789673592e-29 1.26610399528274e-29 -1.24288298820363e-30 -2.78987602665886e-31 1.07591921642491e-31 -9.89455337453256e-33 -2.50427265655268e-33 9.13192099507402e-34 -7.8298853548328e-35 -2.23915626474077e-35 7.7413109609166e-36 -6.15320385152561e-37 -1.99505311785623e-37 6.55440305668366e-38 -4.79639334739613e-39 -1.77185335325653e-39 5.54259402626232e-40 -3.70270115738331e-41 -1.56898941078442e-41 4.68110001042004e-42 -2.82492113062099e-43 -1.38557582136515e-43 3.9484792979043e-44 -2.12385659188812e-45 -1.22051777196119e-45 3.32620898308505e-46 -1.56702121152836e-47 -1.07259454421519e-47 2.79831051151226e-48 -1.12754235850813e-49 -9.40522825093145e-50 2.35101934075079e-50 -7.83236562871175e-52 -8.23003975954532e-52 1.97249423327308e-52 -5.15831092520965e-54 -7.18758591280764e-54 1.65256201227325e-54 -3.10309424346647e-56 -6.2655105410122e-56 1.38249393586102e-56 -1.54361639931176e-58 -5.45206280324231e-58 1.15481016971606e-58 -3.79235706575563e-61 -4.73620420495147e-60 9.63109155345204e-61 4.72090833220659e-63 -4.10766939581946e-62 8.01918971125968e-63 1.07703392329029e-64 -3.55698284371375e-64 6.66520155272321e-65 1.49035874336085e-66 -2.96415236976146e-66
"6" -2.94743251025274e-05 -0.00172782255490048 0.00937597090206559 -0.00353691901230329 -0.208046090390518 1.08350139530475 -0.208046092601322 -0.00353704864716471 0.0093766721356523 -0.00172807679728184 -4.50835677528807e-05 8.1025739713619e-05 -1.43276539891773e-05 -5.1058684834573e-07 6.99153155947482e-07 -1.18564338826553e-07 -5.41897364830726e-09 6.02440751367666e-09 -9.79158175419448e-10 -5.5189896729877e-11 5.18399490595587e-11 -8.06896363028909e-12 -5.46249268690315e-13 4.45488532762052e-13 -6.63418546656905e-14 -5.29407198218307e-15 3.82333143323223e-15 -5.44117045184133e-16 -5.04860282793045e-17 3.27710870217513e-17 -4.45093543771356e-18 -4.75311774559961e-19 2.80537986186743e-19 -3.63054001182028e-20 -4.42834356420431e-21 2.39856440233441e-21 -2.95218502294107e-22 -4.08996076655281e-23 2.04821482125503e-23 -2.39244028842989e-24 -3.74963249861082e-25 1.74690062829061e-25 -1.93158380191373e-26 -3.41584289553903e-27 1.48810067190535e-27 -1.5530370442539e-28 -3.09457786743143e-29 1.26610400186061e-29 -1.24288301357136e-30 -2.78987600332964e-31 1.0759192223294e-31 -9.89455358984252e-33 -2.5042726380915e-33 9.13192104786804e-34 -7.82988553735535e-35 -2.23915625023283e-35 7.74131100795526e-36 -6.15320400606358e-37 -1.99505310654735e-37 6.5544030984598e-38 -4.79639347807795e-39 -1.77185334452634e-39 5.54259406325542e-40 -3.70270126775306e-41 -1.56898940412384e-41 4.68110004308868e-42 -2.82492122371721e-43 -1.38557581635753e-43 3.94847932668127e-44 -2.12385667031261e-45 -1.22051776826647e-45 3.32620900837433e-46 -1.56702127750621e-47 -1.07259454155667e-47 2.7983105336876e-48 -1.12754241393987e-49 -9.40522823246422e-50 2.35101936015531e-50 -7.83236609378148e-52 -8.23003974738295e-52 1.97249425021974e-52 -5.15831131484661e-54 -7.18758590549104e-54 1.65256202704588e-54 -3.10309456942748e-56 -6.26551053737252e-56 1.38249394871572e-56 -1.54361667159009e-58 -5.452062802348e-58 1.15481018088294e-58 -3.79235933655442e-61 -4.7362042060625e-60 9.63109165029072e-61 4.72090640048601e-63 -4.1076693761253e-62 8.01918971125971e-63 1.07698443525514e-64 -3.55672593340924e-64 6.66470835212884e-65 8.97487029379269e-67
"7" 7.81387346563767e-05 -4.51031557196637e-05 -0.0017279525878111 0.0093766481587652 -0.0035370490546066 -0.208046092601322 1.08350140116576 -0.208046093681482 -0.00353704867534416 0.00937667218629851 -0.00172807680623756 -4.50835680720245e-05 8.1025740150634e-05 -1.43276540632878e-05 -5.10586851732887e-07 6.99153159713119e-07 -1.18564339438591e-07 -5.41897368280408e-09 6.02440754607991e-09 -9.79158180463077e-10 -5.51898970713143e-11 5.18399493380173e-11 -8.06896367175709e-12 -5.4624927199942e-13 4.45488535151877e-13 -6.63418550057993e-14 -5.29407201373982e-15 3.82333145371624e-15 -5.4411704796626e-16 -5.04860285764027e-17 3.27710871971054e-17 -4.45093546040683e-18 -4.75311777327942e-19 2.80537987685999e-19 -3.63054003027338e-20 -4.42834358976903e-21 2.39856441513706e-21 -2.9521850378954e-22 -4.08996078999029e-23 2.04821483217427e-23 -2.39244030050357e-24 -3.74963251996192e-25 1.74690063759219e-25 -1.93158381162125e-26 -3.41584291488204e-27 1.48810067981931e-27 -1.55303705202275e-28 -3.09457788486987e-29 1.26610400858579e-29 -1.24288301975612e-30 -2.78987601898289e-31 1.07591922803743e-31 -9.89455363878457e-33 -2.50427265208761e-33 9.13192109625619e-34 -7.82988557581704e-35 -2.23915626270314e-35 7.74131104892448e-36 -6.15320403604429e-37 -1.99505311762254e-37 6.55440313310457e-38 -4.79639350122236e-39 -1.7718533543335e-39 5.5425940925153e-40 -3.70270128541076e-41 -1.56898941278455e-41 4.68110006776922e-42 -2.8249212369928e-43 -1.38557582398653e-43 3.94847934747221e-44 -2.1238566801076e-45 -1.22051777497085e-45 3.32620902586558e-46 -1.56702128455416e-47 -1.07259454743552e-47 2.79831054838299e-48 -1.12754241883568e-49 -9.40522828390713e-50 2.35101937248467e-50 -7.83236612602488e-52 -8.23003979230987e-52 1.97249426054932e-52 -5.15831133424349e-54 -7.18758594465442e-54 1.65256203568736e-54 -3.10309457907656e-56 -6.26551057145134e-56 1.38249395593403e-56 -1.54361667396097e-58 -5.45206283195226e-58 1.154810186903e-58 -3.79235930705543e-61 -4.7362042317377e-60 9.63109170053992e-61 4.72090640048606e-63 -4.10766939581946e-62 8.01919124656635e-63 1.07690665611505e-64 -3.55671101729232e-64 6.68265937213863e-65
"8" -1.44006450284551e-05 8.10190633808816e-05 -4.507919119303e-05 -0.00172807740341461 0.00937667212502287 -0.00353704864716471 -0.208046093681482 1.08350140136483 -0.208046093676289 -0.00353704868467805 0.00937667218794901 -0.00172807680617874 -4.50835681525645e-05 8.10257401642922e-05 -1.43276540626635e-05 -5.10586852426878e-07 6.99153159825915e-07 -1.18564339432233e-07 -5.41897368877586e-09 6.02440754700943e-09 -9.79158180400151e-10 -5.5189897122633e-11 5.18399493456597e-11 -8.06896367114723e-12 -5.46249272439854e-13 4.45488535214558e-13 -6.63418549999835e-14 -5.29407201751494e-15 3.82333145422898e-15 -5.44117047911506e-16 -5.04860286087197e-17 3.27710872012877e-17 -4.4509354598967e-18 -4.75311777604248e-19 2.80537987720007e-19 -3.63054002980223e-20 -4.42834359212851e-21 2.39856441541266e-21 -2.95218503746346e-22 -4.08996079200266e-23 2.04821483239679e-23 -2.39244030011007e-24 -3.74963252167616e-25 1.74690063777109e-25 -1.93158381126476e-26 -3.41584291634055e-27 1.48810067996249e-27 -1.55303705170137e-28 -3.09457788610929e-29 1.26610400869977e-29 -1.24288301946764e-30 -2.78987602003485e-31 1.07591922812763e-31 -9.89455363620514e-33 -2.50427265297938e-33 9.13192109696503e-34 -7.82988557351881e-35 -2.23915626345819e-35 7.74131104947701e-36 -6.15320403400318e-37 -1.99505311826102e-37 6.55440313353112e-38 -4.79639349941495e-39 -1.77185335487275e-39 5.54259409284072e-40 -3.70270128381463e-41 -1.56898941323941e-41 4.68110006801388e-42 -2.82492123558681e-43 -1.3855758243697e-43 3.94847934765273e-44 -2.12385667887201e-45 -1.22051777529321e-45 3.32620902599547e-46 -1.56702128347071e-47 -1.07259454770635e-47 2.79831054847322e-48 -1.1275424178876e-49 -9.40522828617938e-50 2.35101937254409e-50 -7.83236611774505e-52 -8.23003979421357e-52 1.97249426058507e-52 -5.15831132702584e-54 -7.18758594624701e-54 1.65256203570514e-54 -3.10309457279597e-56 -6.26551057278164e-56 1.3824939559384e-56 -1.54361666850503e-58 -5.45206283306165e-58 1.15481018689713e-58 -3.79235925949547e-61 -4.7362042317377e-60 9.63109165029069e-61 4.72090833220661e-63 -4.10765827497881e-62 8.01861203611567e-63 1.07801874018034e-64 -3.42304856248234e-64
"9" -3.75687061739945e-07 -1.43255024058006e-05 8.10196885725018e-05 -4.50824474087934e-05 -0.00172807677817783 0.0093766721356523 -0.00353704867534416 -0.208046093676289 1.08350140136496 -0.208046093676532 -0.00353704868463498 0.00937667218795054 -0.00172807680618084 -4.50835681522082e-05 8.10257401643085e-05 -1.43276540626816e-05 -5.10586852423935e-07 6.9915315982608e-07 -1.18564339432389e-07 -5.41897368875161e-09 6.02440754701107e-09 -9.7915818040149e-10 -5.51898971224336e-11 5.18399493456756e-11 -8.06896367115872e-12 -5.46249272438219e-13 4.45488535214709e-13 -6.6341855000082e-14 -5.29407201750156e-15 3.82333145423041e-15 -5.44117047912349e-16 -5.04860286086106e-17 3.2771087201301e-17 -4.45093545990391e-18 -4.75311777603361e-19 2.8053798772013e-19 -3.63054002980839e-20 -4.42834359212132e-21 2.39856441541379e-21 -2.95218503746871e-22 -4.08996079199685e-23 2.04821483239781e-23 -2.39244030011455e-24 -3.7496325216715e-25 1.74690063777202e-25 -1.93158381126857e-26 -3.41584291633681e-27 1.48810067996332e-27 -1.5530370517046e-28 -3.09457788610632e-29 1.26610400870052e-29 -1.24288301947038e-30 -2.7898760200325e-31 1.0759192281283e-31 -9.89455363622841e-33 -2.50427265297753e-33 9.13192109697103e-34 -7.82988557353851e-35 -2.23915626345675e-35 7.74131104948234e-36 -6.15320403401985e-37 -1.99505311825991e-37 6.55440313353583e-38 -4.79639349942901e-39 -1.7718533548719e-39 5.54259409284488e-40 -3.7027012838265e-41 -1.56898941323877e-41 4.68110006801755e-42 -2.82492123559681e-43 -1.38557582436923e-43 3.94847934765595e-44 -2.12385667888042e-45 -1.22051777529287e-45 3.32620902599829e-46 -1.56702128347778e-47 -1.07259454770612e-47 2.79831054847569e-48 -1.12754241789353e-49 -9.40522828617783e-50 2.35101937254625e-50 -7.83236611779472e-52 -8.23003979421264e-52 1.97249426058695e-52 -5.1583113270674e-54 -7.18758594624654e-54 1.65256203570678e-54 -3.10309457283068e-56 -6.26551057278153e-56 1.38249395593983e-56 -1.54361666853436e-58 -5.45206283305957e-58 1.15481018689713e-58 -3.7923593070552e-61 -4.73620420606249e-60 9.63109155345204e-61 4.72033865152535e-63 -4.10736158696886e-62 8.01804239679083e-63 3.93361554293763e-65
"10" 6.75212840721837e-07 -5.10738994236216e-07 -1.43266260468648e-05 8.10255408866204e-05 -4.50835711310218e-05 -0.00172807679728184 0.00937667218629851 -0.00353704868467805 -0.208046093676532 1.0835014013654 -0.20804609367661 -0.00353704868463775 0.00937667218795432 -0.00172807680618148 -4.50835681522375e-05 8.10257401643411e-05 -1.43276540626869e-05 -5.10586852424233e-07 6.9915315982636e-07 -1.18564339432432e-07 -5.41897368875457e-09 6.02440754701348e-09 -9.79158180401849e-10 -5.51898971224622e-11 5.18399493456963e-11 -8.06896367116166e-12 -5.46249272438492e-13 4.45488535214886e-13 -6.6341855000106e-14 -5.29407201750413e-15 3.82333145423192e-15 -5.44117047912545e-16 -5.04860286086345e-17 3.27710872013139e-17 -4.4509354599055e-18 -4.75311777603582e-19 2.80537987720241e-19 -3.63054002980968e-20 -4.42834359212334e-21 2.39856441541474e-21 -2.95218503746975e-22 -4.0899607919987e-23 2.04821483239862e-23 -2.39244030011539e-24 -3.74963252167317e-25 1.74690063777271e-25 -1.93158381126924e-26 -3.41584291633832e-27 1.4881006799639e-27 -1.55303705170513e-28 -3.09457788610767e-29 1.26610400870102e-29 -1.24288301947081e-30 -2.78987602003371e-31 1.07591922812872e-31 -9.89455363623174e-33 -2.50427265297861e-33 9.13192109697457e-34 -7.8298855735411e-35 -2.23915626345771e-35 7.74131104948533e-36 -6.15320403402184e-37 -1.99505311826076e-37 6.55440313353836e-38 -4.79639349943054e-39 -1.77185335487265e-39 5.54259409284702e-40 -3.70270128382764e-41 -1.56898941323943e-41 4.68110006801935e-42 -2.82492123559765e-43 -1.38557582436981e-43 3.94847934765747e-44 -2.12385667888103e-45 -1.22051777529338e-45 3.32620902599956e-46 -1.5670212834782e-47 -1.07259454770656e-47 2.79831054847675e-48 -1.12754241789381e-49 -9.40522828618171e-50 2.35101937254715e-50 -7.83236611779639e-52 -8.23003979421602e-52 1.9724942605877e-52 -5.15831132706823e-54 -7.18758594624949e-54 1.6525620357074e-54 -3.10309457283088e-56 -6.26551057278409e-56 1.38249395594035e-56 -1.54361666853439e-58 -5.45206283306165e-58 1.154810186903e-58 -3.79235933655448e-61 -4.73620420495147e-60 9.63109220810718e-61 4.71999771083457e-63 -4.10735504092801e-62 8.02591017342265e-63
